,PA13:NO2,PA13:NO,PA13:NOX,PA13:O3,OBJECTID
2024/01/18 22:00:00+00,43.5,1,45.1,22,434
2024/01/18 23:00:00+00,46.6,1.2,48.4,15.7,435
2024/01/19 00:00:00+00,45.9,1.5,48.2,16.9,436
2024/01/19 01:00:00+00,42,0.7,43.1,18.4,437
2024/01/19 02:00:00+00,40.4,0.9,41.9,17.7,438
2024/01/19 03:00:00+00,42.2,0.6,43.2,14.1,439
2024/01/19 04:00:00+00,37,1.1,38.6,16.7,440
2024/01/19 05:00:00+00,39.8,1.1,41.5,14.7,441
2024/01/19 06:00:00+00,50.6,6.7,60.8,4.7,442
2024/01/19 07:00:00+00,54.7,7.5,66.3,1,443
2024/01/19 08:00:00+00,60,40.1,121.4,0.1,444
2024/01/19 09:00:00+00,68.8,130.6,269.1,0.9,445
2024/01/19 10:00:00+00,61.1,86.9,194.3,3.6,446
2024/01/19 11:00:00+00,65,58.8,155.1,9.1,447
2024/01/19 12:00:00+00,58.9,40.7,121.4,16.3,448
2024/01/19 13:00:00+00,41.5,14.6,63.9,36.7,449
2024/01/19 14:00:00+00,37.5,9.3,51.6,41.8,450
2024/01/19 15:00:00+00,40.7,10.3,56.6,36.7,451
2024/01/19 16:00:00+00,57.2,24.1,94.2,8.3,452
2024/01/19 17:00:00+00,59.7,10.3,75.5,4.3,453
2024/01/19 18:00:00+00,62.8,6.8,73.1,1.9,454
2024/01/19 19:00:00+00,55.4,3.5,60.9,8.9,455
2024/01/19 20:00:00+00,39.3,1.8,42.1,25.1,456
2024/01/19 21:00:00+00,22.9,1,24.5,41,457
2024/01/19 22:00:00+00,18.3,1.1,20,45.9,458
2024/01/19 23:00:00+00,18.9,0.8,20.2,45.9,459
2024/01/20 00:00:00+00,17.5,1.1,19.2,46.9,460
2024/01/20 01:00:00+00,18.7,0.9,20.1,45.4,461
2024/01/20 02:00:00+00,15.6,0.4,16.2,49.9,462
2024/01/20 03:00:00+00,13.9,0.8,15.3,52.1,463
2024/01/20 04:00:00+00,14.5,0.9,16,50.9,464
2024/01/20 05:00:00+00,16.5,0.8,17.8,48.3,465
2024/01/20 06:00:00+00,23.2,0.8,24.3,40.6,466
2024/01/20 07:00:00+00,30.5,0.5,31.3,32.4,467
2024/01/20 08:00:00+00,26.3,1.3,28.2,35,468
2024/01/20 09:00:00+00,33.3,4,39.5,30.6,469
2024/01/20 10:00:00+00,22.8,4.2,29.3,41.9,470
2024/01/20 11:00:00+00,20.8,5.5,29.2,45.2,471
2024/01/20 12:00:00+00,25,8,37.4,42.7,472
2024/01/20 13:00:00+00,28.9,8.7,42.1,42,473
2024/01/20 14:00:00+00,30.1,8.2,42.5,40.1,474
2024/01/20 15:00:00+00,30.4,6.1,39.6,39.1,475
2024/01/20 16:00:00+00,27.9,3.1,32.6,41.9,476
2024/01/20 17:00:00+00,34.1,2.2,37.5,33,477
2024/01/20 18:00:00+00,41.3,1.9,44.3,25.3,478
2024/01/20 19:00:00+00,53,3.9,59,14.5,479
2024/01/20 20:00:00+00,46.8,3.6,52.2,15.5,480
2024/01/20 21:00:00+00,43.9,4.3,50.5,14.8,481
2024/01/20 22:00:00+00,41,3.1,45.8,14.1,482
2024/01/20 23:00:00+00,33.8,2.4,37.4,18,483
2024/01/21 00:00:00+00,25.9,1.6,28.4,24.5,484
2024/01/21 01:00:00+00,20,1.5,22.2,32.3,485
2024/01/21 02:00:00+00,16.2,1.3,18.2,34.6,486
2024/01/21 03:00:00+00,16.5,1,17.9,32.9,487
2024/01/21 04:00:00+00,16.2,0.9,17.7,33.7,488
2024/01/21 05:00:00+00,19,1.8,21.8,32,489
2024/01/21 06:00:00+00,16.7,1,18.3,38.6,490
2024/01/21 07:00:00+00,14.3,1.4,16.6,39.8,491
2024/01/21 08:00:00+00,15.8,1.9,18.7,37.5,492
2024/01/21 09:00:00+00,16.7,1.8,19.5,36.3,493
2024/01/21 10:00:00+00,16.1,2.5,19.8,37.1,494
2024/01/21 11:00:00+00,19.3,2.8,23.7,35.3,495
2024/01/21 12:00:00+00,19.8,3.9,25.9,35.8,496
2024/01/21 13:00:00+00,16.5,3.4,21.7,40.8,497
2024/01/21 14:00:00+00,20.2,3.4,25.4,37,498
2024/01/21 15:00:00+00,19.2,3.1,23.9,38.2,499
2024/01/21 16:00:00+00,20,1.7,22.5,38.4,500
2024/01/21 17:00:00+00,18.2,1.7,20.9,41.6,501
2024/01/21 18:00:00+00,16.4,1.7,19.1,43.5,502
2024/01/21 19:00:00+00,16.9,2.5,20.8,41.9,503
2024/01/21 20:00:00+00,16.9,1.6,19.3,42.3,504
2024/01/21 21:00:00+00,11.7,0.9,13.2,48.3,505
2024/01/21 22:00:00+00,8.7,0.6,9.6,53.7,506
2024/01/21 23:00:00+00,6.4,1.2,8.3,55.2,507
2024/01/22 00:00:00+00,5.5,1.2,7.4,57.1,508
2024/01/22 01:00:00+00,4.5,0.5,5.4,61.5,509
2024/01/22 02:00:00+00,3.4,0.5,4.3,63.7,510
2024/01/22 03:00:00+00,3.8,0.6,4.6,62.2,511
2024/01/22 04:00:00+00,3.9,0.6,4.9,63,512
2024/01/22 05:00:00+00,5.3,1,6.9,62.7,513
2024/01/22 06:00:00+00,9,1,10.6,58.3,514
2024/01/22 07:00:00+00,12.7,1.5,15.1,54,515
2024/01/22 08:00:00+00,15.5,1.8,18.2,49.1,516
2024/01/22 09:00:00+00,17.1,2,20.1,46.9,517
2024/01/22 10:00:00+00,18.5,3.2,23.4,45.7,518
2024/01/22 11:00:00+00,15.3,2.5,19.2,56.1,519
2024/01/22 12:00:00+00,12.3,1.4,14.3,63.7,520
2024/01/22 13:00:00+00,11.5,1.3,13.5,63.6,521
2024/01/22 14:00:00+00,11.7,2.5,15.6,64.5,522
2024/01/22 15:00:00+00,11.2,1.6,13.6,65.1,523
2024/01/22 16:00:00+00,13.9,0.9,15.3,62.8,524
2024/01/22 17:00:00+00,12.2,0.9,13.5,65.9,525
2024/01/22 18:00:00+00,15.4,0.9,16.7,62.5,526
2024/01/22 19:00:00+00,16.4,0.7,17.4,60.4,527
2024/01/22 20:00:00+00,14.7,1.1,16.4,61.5,528
2024/01/22 21:00:00+00,11.8,1,13.4,65.7,529
2024/01/22 22:00:00+00,13,0.4,13.7,63,530
2024/01/22 23:00:00+00,12.6,0.2,12.8,60.3,531
2024/01/23 00:00:00+00,10.4,1,11.9,59.7,532
2024/01/23 01:00:00+00,6.9,0.5,7.7,65.5,533
2024/01/23 02:00:00+00,7.8,0.8,9,63,534
2024/01/23 03:00:00+00,9.8,0.5,10.6,59.6,535
2024/01/23 04:00:00+00,11.4,0.8,12.6,56.3,536
2024/01/23 05:00:00+00,15.2,1.1,16.8,53.2,537
2024/01/23 06:00:00+00,22.5,1.1,24.3,46,538
2024/01/23 07:00:00+00,35.5,2.3,39,31.3,539
2024/01/23 08:00:00+00,41.2,4.2,47.6,25,540
2024/01/23 09:00:00+00,38.4,4.5,45.2,28.2,541
2024/01/23 10:00:00+00,33.2,5,40.9,32.1,542
2024/01/23 11:00:00+00,30.8,4,36.9,34,543
2024/01/23 12:00:00+00,32.8,5,40.4,30.9,544
2024/01/23 13:00:00+00,34.9,4.5,41.7,28.5,545
2024/01/23 14:00:00+00,35.1,3.9,40.9,30.1,546
2024/01/23 15:00:00+00,24,3,28.7,43.7,547
2024/01/23 16:00:00+00,19.4,1.7,21.9,47.7,548
2024/01/23 17:00:00+00,20.9,1.7,23.6,46.1,549
2024/01/23 18:00:00+00,18.3,1.4,20.5,48,550
2024/01/23 19:00:00+00,17.3,1.1,19,48,551
2024/01/23 20:00:00+00,14.5,1,16.1,47.3,552
2024/01/23 21:00:00+00,9.6,1.2,11.6,49.5,553
2024/01/23 22:00:00+00,7,0.6,8,48,554
2024/01/23 23:00:00+00,6,0.8,7.3,47.6,555
2024/01/24 00:00:00+00,4.7,1.1,6.3,49.7,556
2024/01/24 01:00:00+00,4.4,0.6,5.4,51.3,557
2024/01/24 02:00:00+00,4.1,0.3,4.6,51.4,558
2024/01/24 03:00:00+00,4,0.6,4.9,49.7,559
2024/01/24 04:00:00+00,3.9,0.5,4.8,50,560
2024/01/24 05:00:00+00,6,0.9,7.3,49.7,561
2024/01/24 06:00:00+00,12.1,1,13.5,45.5,562
2024/01/24 07:00:00+00,15.3,1,16.9,40.6,563
2024/01/24 08:00:00+00,20.4,0.9,21.8,41.5,564
2024/01/24 09:00:00+00,22.8,1.8,25.7,40.9,565
2024/01/24 10:00:00+00,19,2.5,22.9,49,566
2024/01/24 11:00:00+00,17.4,2.3,21.1,56.7,567
2024/01/24 12:00:00+00,13,2,16.1,62.7,568
2024/01/24 13:00:00+00,13,1.9,15.9,63.7,569
2024/01/24 14:00:00+00,10.8,1.1,12.5,67.8,570
2024/01/24 15:00:00+00,16.4,1.5,18.7,58.8,571
2024/01/24 16:00:00+00,21.8,1.7,24.5,52.6,572
2024/01/24 17:00:00+00,26.6,0.7,27.6,46.2,573
2024/01/24 18:00:00+00,46.2,1.7,48.9,27.2,574
2024/01/24 19:00:00+00,41.9,1.4,44,30,575
2024/01/24 20:00:00+00,42.9,1.7,45.6,26.6,576
2024/01/24 21:00:00+00,24.1,0.9,25.5,49.5,577
2024/01/24 22:00:00+00,12.8,0.4,13.3,56.2,578
2024/01/24 23:00:00+00,17.2,0.5,18.1,50.7,579
2024/01/25 00:00:00+00,13.4,0.4,13.9,52.2,580
2024/01/25 01:00:00+00,9.4,0.7,10.5,49.5,581
2024/01/25 02:00:00+00,15.1,0.7,16.2,52.8,582
2024/01/25 03:00:00+00,13,0.6,13.9,56,583
2024/01/25 04:00:00+00,12.3,0.2,12.5,53,584
2024/01/25 05:00:00+00,16.8,0.5,17.6,46.2,585
2024/01/25 06:00:00+00,27.1,0.5,27.9,35.4,586
2024/01/25 07:00:00+00,41.8,1.2,43.6,19.8,587
2024/01/25 08:00:00+00,52.5,5.2,60.5,6.9,588
2024/01/25 09:00:00+00,55.4,26.7,96.4,1.5,589
2024/01/25 10:00:00+00,49.5,22.8,84.5,3.9,590
2024/01/25 11:00:00+00,43.1,15.7,67.2,7.6,591
2024/01/25 12:00:00+00,27.3,8.6,40.5,21.2,592
2024/01/25 13:00:00+00,23.1,6.6,33.2,27.1,593
2024/01/25 14:00:00+00,21.8,4.8,29.2,31.4,594
2024/01/25 15:00:00+00,20,2.5,23.7,36.8,595
2024/01/25 16:00:00+00,23.2,1.8,26.2,36,596
2024/01/25 17:00:00+00,19.5,1.1,21,37.1,597
2024/01/25 18:00:00+00,36.9,2.5,40.9,22.1,598
2024/01/25 19:00:00+00,37.6,2.7,41.7,20.2,599
2024/01/25 20:00:00+00,28.5,1.6,31,24.7,600
2024/01/25 21:00:00+00,23,1,24.5,24.5,601
2024/01/25 22:00:00+00,17.7,0.8,18.9,27,602
2024/01/25 23:00:00+00,18,1,19.7,27.1,603
2024/01/26 00:00:00+00,16.3,0.6,17.2,29,604
2024/01/26 01:00:00+00,11.2,0.4,11.8,36.9,605
2024/01/26 02:00:00+00,7.9,1,9.6,38.4,606
2024/01/26 03:00:00+00,8.8,0.8,10,39.1,607
2024/01/26 04:00:00+00,9.4,0.3,9.9,42.8,608
2024/01/26 05:00:00+00,9,0.5,9.9,48,609
2024/01/26 06:00:00+00,14.8,0.8,16.1,44.5,610
2024/01/26 07:00:00+00,17,1.1,18.8,43.9,611
2024/01/26 08:00:00+00,18.6,1.1,20.3,45.6,612
2024/01/26 09:00:00+00,20.8,1.7,23.4,43.6,613
2024/01/26 10:00:00+00,23.6,1.7,26.3,37.8,614
2024/01/26 11:00:00+00,16.3,1.6,18.9,58,615
2024/01/26 12:00:00+00,14.3,1.9,17.3,61.3,616
2024/01/26 13:00:00+00,11.3,1.7,13.7,67.5,617
2024/01/26 14:00:00+00,11.8,0.8,13,67.4,618
2024/01/26 15:00:00+00,13.2,1.6,15.7,64.5,619
2024/01/26 16:00:00+00,14.8,0.8,16.1,61.8,620
2024/01/26 17:00:00+00,20.7,0.8,21.9,53.5,621
2024/01/26 18:00:00+00,24.9,0.4,25.6,48.9,622
2024/01/26 19:00:00+00,32,0.5,32.8,39.7,623
2024/01/26 20:00:00+00,39.6,0.6,40.5,32.9,624
2024/01/26 21:00:00+00,35.2,0.4,35.9,37.8,625
2024/01/26 22:00:00+00,35.8,0.5,36.5,36.1,626
2024/01/26 23:00:00+00,25.4,0.5,26.1,46.5,627
2024/01/27 00:00:00+00,30.2,0.7,31.1,40.2,628
2024/01/27 01:00:00+00,45.4,13,65.3,25,629
2024/01/27 02:00:00+00,61.9,67,164.6,0.5,630
2024/01/27 03:00:00+00,57.8,75.7,173.9,0,631
2024/01/27 04:00:00+00,54.3,73.5,167.1,0.1,632
2024/01/27 05:00:00+00,58.7,91,198.1,0,633
2024/01/27 06:00:00+00,61.9,106.8,225.6,0,634
2024/01/27 07:00:00+00,63.4,109.1,230.8,-0.1,635
2024/01/27 08:00:00+00,63.9,105,224.9,0.2,636
2024/01/27 09:00:00+00,61.3,55.4,146.3,2.8,637
2024/01/27 10:00:00+00,42.6,16.1,67.3,21.1,638
2024/01/27 11:00:00+00,39.4,17.5,66.1,26.4,639
2024/01/27 12:00:00+00,33.9,9.7,48.7,35.5,640
2024/01/27 13:00:00+00,23.2,3.5,28.7,49.4,641
2024/01/27 14:00:00+00,22.1,3.8,27.9,51.9,642
2024/01/27 15:00:00+00,15.4,2.3,18.9,59.3,643
2024/01/27 16:00:00+00,16.2,1.3,18.2,58.6,644
2024/01/27 17:00:00+00,32.2,1.2,34.1,41.2,645
2024/01/27 18:00:00+00,47.1,1.6,49.5,29.5,646
2024/01/27 19:00:00+00,57.1,2.5,60.9,17.9,647
2024/01/27 20:00:00+00,39.3,1.4,41.4,28.2,648
2024/01/27 21:00:00+00,35.3,0.9,36.7,25.4,649
2024/01/27 22:00:00+00,34.6,0.8,35.8,23,650
2024/01/27 23:00:00+00,35.1,1.2,36.9,21.8,651
2024/01/28 00:00:00+00,31.4,0.6,32.3,25.1,652
2024/01/28 01:00:00+00,30.1,0.6,31.1,24.1,653
2024/01/28 02:00:00+00,37.1,1.6,39.5,16.7,654
2024/01/28 03:00:00+00,33,1.3,34.9,19.5,655
2024/01/28 04:00:00+00,25.7,0.3,26.1,23.9,656
2024/01/28 05:00:00+00,19.4,0.8,20.5,26.3,657
2024/01/28 06:00:00+00,23.5,1.1,25.3,22.5,658
2024/01/28 07:00:00+00,22.4,1.1,24,22.3,659
2024/01/28 08:00:00+00,24.7,1.5,27,18.3,660
2024/01/28 09:00:00+00,27.8,5.6,36.4,14.1,661
2024/01/28 10:00:00+00,25.3,8.1,37.8,17.6,662
2024/01/28 11:00:00+00,21,8.4,34,22.6,663
2024/01/28 12:00:00+00,20.8,9.3,35,23.4,664
2024/01/28 13:00:00+00,19.7,8.6,32.9,26.8,665
2024/01/28 14:00:00+00,20.4,7.3,31.5,27,666
2024/01/28 15:00:00+00,24.8,6.2,34.4,23.4,667
2024/01/28 16:00:00+00,27.8,5,35.4,19.6,668
2024/01/28 17:00:00+00,34.3,4.7,41.5,10.7,669
2024/01/28 18:00:00+00,33.4,3.3,38.6,10.4,670
2024/01/28 19:00:00+00,38.8,7,49.5,5.4,671
2024/01/28 20:00:00+00,44.4,16.9,70.4,1.7,672
2024/01/28 21:00:00+00,38.6,10.4,54.4,2.2,673
2024/01/28 22:00:00+00,40.1,14.6,62.4,0.7,674
2024/01/28 23:00:00+00,38,14.6,60.4,1,675
2024/01/29 00:00:00+00,36.4,12.6,55.7,0.7,676
2024/01/29 01:00:00+00,36.5,16.4,61.7,0.3,677
2024/01/29 02:00:00+00,34.7,17.5,61.6,0,678
2024/01/29 03:00:00+00,35.4,35.4,89.6,0.1,679
2024/01/29 04:00:00+00,37.2,31.3,85.1,-0.1,680
2024/01/29 05:00:00+00,39,21.5,72,0.6,681
2024/01/29 06:00:00+00,42.3,26.2,82.4,0.2,682
2024/01/29 07:00:00+00,44,40.7,106.5,-0.2,683
2024/01/29 08:00:00+00,45.4,46.8,117.2,0.1,684
2024/01/29 09:00:00+00,45.4,42.5,110.7,1.9,685
2024/01/29 10:00:00+00,48.7,54.5,132.3,3.4,686
2024/01/29 11:00:00+00,44,34.4,96.8,8.5,687
2024/01/29 12:00:00+00,36.4,22.8,71.3,19.4,688
2024/01/29 13:00:00+00,22.6,7.4,33.9,35.4,689
2024/01/29 14:00:00+00,15.7,3.8,21.6,44.1,690
2024/01/29 15:00:00+00,22.7,4.4,29.5,38.2,691
2024/01/29 16:00:00+00,22.1,3.1,26.8,39.7,692
2024/01/29 17:00:00+00,38.5,1.7,41.1,23,693
2024/01/29 18:00:00+00,52.5,2.9,57,10.3,694
2024/01/29 19:00:00+00,57.2,5.6,65.9,6.1,695
2024/01/29 20:00:00+00,65.2,28.1,108.4,0.7,696
2024/01/29 21:00:00+00,61.3,12.6,80.5,2.3,697
2024/01/29 22:00:00+00,55.8,8.7,69.1,2.9,698
2024/01/29 23:00:00+00,46.6,5,54.3,7.1,699
2024/01/30 00:00:00+00,43,5.4,51.4,8.1,700
2024/01/30 01:00:00+00,39.3,3.2,44.3,9.4,701
2024/01/30 02:00:00+00,41.2,4.5,48.1,5.4,702
2024/01/30 03:00:00+00,34.8,1.5,37.2,10.3,703
2024/01/30 04:00:00+00,26.4,0.8,27.7,19.9,704
2024/01/30 05:00:00+00,32.7,2,35.7,13.7,705
2024/01/30 06:00:00+00,43.2,10.9,60,2.6,706
2024/01/30 07:00:00+00,48.9,27.6,91.2,-0.3,707
2024/01/30 08:00:00+00,46.5,18.7,75.1,2.1,708
2024/01/30 09:00:00+00,41.9,12.6,61.2,5.8,709
2024/01/30 10:00:00+00,40.4,12.2,59.1,7.4,710
2024/01/30 11:00:00+00,35.4,8.8,48.9,11.7,711
2024/01/30 12:00:00+00,31,8.1,43.3,16.6,712
2024/01/30 13:00:00+00,19.3,2.5,23.1,41.7,713
2024/01/30 14:00:00+00,17.6,1.6,20.1,45.6,714
2024/01/30 15:00:00+00,18.6,1.5,21,47.8,715
2024/01/30 16:00:00+00,16.5,1.2,18.5,53,716
2024/01/30 17:00:00+00,16.4,0.5,17.2,53.9,717
2024/01/30 18:00:00+00,21.5,0.7,22.6,50.7,718
2024/01/30 19:00:00+00,30.6,0.6,31.5,42.3,719
2024/01/30 20:00:00+00,30.8,0.3,31.2,48,720
2024/01/30 21:00:00+00,29.8,0.8,31,47.4,721
2024/01/30 22:00:00+00,24.2,0.4,24.8,53.3,722
2024/01/30 23:00:00+00,20.5,0.8,21.7,56,723
2024/01/31 00:00:00+00,20.5,0.2,20.8,55.8,724
2024/01/31 01:00:00+00,15.4,0.7,16.6,60.7,725
2024/01/31 02:00:00+00,21.7,1,23.2,52.2,726
2024/01/31 03:00:00+00,21.8,0.3,22.3,50.7,727
2024/01/31 04:00:00+00,16.3,0.3,16.7,57.1,728
2024/01/31 05:00:00+00,11.8,0.3,12.2,65.8,729
2024/01/31 06:00:00+00,24,0.7,24.9,53.8,730
2024/01/31 07:00:00+00,50.4,1.8,53.1,27.4,731
2024/01/31 08:00:00+00,67.8,8.1,80.1,11.5,732
2024/01/31 09:00:00+00,57.2,11.2,74.4,19.1,733
2024/01/31 10:00:00+00,37.6,9.7,52.5,32.6,734
2024/01/31 11:00:00+00,29.4,6.9,39.9,37,735
2024/01/31 12:00:00+00,24.1,3.8,30,39.3,736
2024/01/31 13:00:00+00,19.7,2.2,23.1,42.2,737
2024/01/31 14:00:00+00,17.8,2.4,21.6,47.7,738
2024/01/31 15:00:00+00,20.6,2.3,24,51.3,739
2024/01/31 16:00:00+00,22.1,6.4,31,55,740
2024/01/31 17:00:00+00,26.2,1.1,27.9,45.8,741
2024/01/31 18:00:00+00,41.7,1.8,44.4,31.5,742
2024/01/31 19:00:00+00,75,17.9,102.3,3.4,743
2024/01/31 20:00:00+00,73.9,23.2,109.5,1.2,744
2024/01/31 21:00:00+00,56.3,8.5,69.4,12,745
2024/01/31 22:00:00+00,33.7,1.5,36,30.9,746
2024/01/31 23:00:00+00,18.7,0.4,19.3,46.3,747
2024/02/01 00:00:00+00,13.9,0.6,14.8,48.6,748
2024/02/01 01:00:00+00,11.4,0.3,11.8,49.8,749
2024/02/01 02:00:00+00,12.1,0.6,13,46.8,750
2024/02/01 03:00:00+00,12,0.4,12.6,46.7,751
2024/02/01 04:00:00+00,10,0.5,10.6,49.8,752
2024/02/01 05:00:00+00,15.9,0.7,17.1,43.5,753
2024/02/01 06:00:00+00,28,1.8,30.8,30.6,754
2024/02/01 07:00:00+00,33.1,2.2,36.4,24.9,755
2024/02/01 08:00:00+00,36.8,2,39.9,22.3,756
2024/02/01 09:00:00+00,35.1,2.8,39.5,22.9,757
2024/02/01 10:00:00+00,31.8,3.8,37.5,26.8,758
2024/02/01 11:00:00+00,23.2,2.9,27.6,36.6,759
2024/02/01 12:00:00+00,22.6,2.2,26.1,37,760
2024/02/01 13:00:00+00,26.5,3.3,31.5,34.2,761
2024/02/01 14:00:00+00,29.1,2.7,33.2,32.1,762
2024/02/01 15:00:00+00,29.6,2.5,33.5,35.4,763
2024/02/01 16:00:00+00,31.2,2.9,34.8,34.2,764
2024/02/01 17:00:00+00,32.6,1.7,35.2,32.1,765
2024/02/01 18:00:00+00,28.7,0.9,30.1,40.2,766
2024/02/01 19:00:00+00,28.2,0.8,29.4,37.7,767
2024/02/01 20:00:00+00,25,0.8,26.3,38.1,768
2024/02/01 21:00:00+00,25.2,1,26.7,36.4,769
2024/02/01 22:00:00+00,24,0.8,25.2,40.1,770
2024/02/01 23:00:00+00,25.3,0.6,26.2,40,771
2024/02/02 00:00:00+00,31.3,1,32.9,30.2,772
2024/02/02 01:00:00+00,51.3,1.8,54.2,8.1,773
2024/02/02 02:00:00+00,39.9,2.1,43.2,15.7,774
2024/02/02 03:00:00+00,43.3,6.3,52.9,1.3,775
2024/02/02 04:00:00+00,37.7,5.9,46.8,1.7,776
2024/02/02 05:00:00+00,36.7,4.4,43.5,6.6,777
2024/02/02 06:00:00+00,46.6,5.8,55.6,7.1,778
2024/02/02 07:00:00+00,52.3,15,75.3,2,779
2024/02/02 08:00:00+00,46.3,10.2,62,5.4,780
2024/02/02 09:00:00+00,34.5,7.2,45.5,18.7,781
2024/02/02 10:00:00+00,27,4.8,34.2,28.2,782
2024/02/02 11:00:00+00,19.2,5.8,28,38.7,783
2024/02/02 12:00:00+00,17.2,5.1,25.2,44.3,784
2024/02/02 13:00:00+00,13.7,3.4,19,48.4,785
2024/02/02 14:00:00+00,18.4,6.4,28.1,48.8,786
2024/02/02 15:00:00+00,14.6,3,19.2,47.1,787
2024/02/02 16:00:00+00,18.5,2.6,22.5,39.6,788
2024/02/02 17:00:00+00,19.9,1.3,21.9,38.3,789
2024/02/02 18:00:00+00,18.7,0.8,20,38.5,790
2024/02/02 19:00:00+00,17.2,1.4,19.4,40.1,791
2024/02/02 20:00:00+00,19.9,1.5,22.1,36.8,792
2024/02/02 21:00:00+00,24,1.2,25.8,30.7,793
2024/02/02 22:00:00+00,25.6,2.2,28.9,24.8,794
2024/02/02 23:00:00+00,27.6,1.5,29.9,20.8,795
2024/02/03 00:00:00+00,23.4,1.7,26.1,22.5,796
2024/02/03 01:00:00+00,22.8,1.7,25.3,23,797
2024/02/03 02:00:00+00,20.5,1.2,22.3,23,798
2024/02/03 03:00:00+00,17.3,1.1,19,26.2,799
2024/02/03 04:00:00+00,17.6,0.8,18.9,26.7,800
2024/02/03 05:00:00+00,22.6,1.6,25,23.7,801
2024/02/03 06:00:00+00,23.8,1.2,25.7,31.1,802
2024/02/03 07:00:00+00,25.5,1.7,28.1,31,803
2024/02/03 08:00:00+00,35.2,3.7,40.8,13.5,804
2024/02/03 09:00:00+00,36.1,6,45.2,19.1,805
2024/02/03 10:00:00+00,19.2,1.6,21.8,46.3,806
2024/02/03 11:00:00+00,18.1,2,21.2,47.9,807
2024/02/03 12:00:00+00,14.5,1.2,16.3,51.7,808
2024/02/03 13:00:00+00,15.5,1.2,17.3,49.5,809
2024/02/03 14:00:00+00,17.4,1.2,19.3,47.4,810
2024/02/03 15:00:00+00,15.7,1.2,17.6,50,811
2024/02/03 16:00:00+00,17.1,0.8,18.4,46.8,812
2024/02/03 17:00:00+00,21.3,0.7,22.6,43.2,813
2024/02/03 18:00:00+00,22.8,0.9,24.1,41,814
2024/02/03 19:00:00+00,26,0.9,27.3,38.3,815
2024/02/03 20:00:00+00,22.3,1.2,24.2,43.2,816
2024/02/03 21:00:00+00,17.9,0.8,19.2,45.8,817
2024/02/03 22:00:00+00,15.9,0.4,16.5,45,818
2024/02/03 23:00:00+00,15.2,0.6,16.2,44.7,819
2024/02/04 00:00:00+00,18.6,0.6,19.4,42.8,820
2024/02/04 01:00:00+00,14.3,0.8,15.6,48.2,821
2024/02/04 02:00:00+00,10.5,0.2,10.9,57.1,822
2024/02/04 03:00:00+00,10.4,0.7,11.4,52.6,823
2024/02/04 04:00:00+00,12,0.9,13.3,50.2,824
2024/02/04 05:00:00+00,9.9,0.8,11.1,53.6,825
2024/02/04 06:00:00+00,10.8,0.6,11.8,54.2,826
2024/02/04 07:00:00+00,9.7,0.4,10.4,56.9,827
2024/02/04 08:00:00+00,9.9,0.5,10.6,57.4,828
2024/02/04 09:00:00+00,12.8,0.9,14.3,53.1,829
2024/02/04 10:00:00+00,10.7,0.6,11.6,55.7,830
2024/02/04 11:00:00+00,10.4,1.1,12.1,56.1,831
2024/02/04 12:00:00+00,9.6,0.8,10.9,55.9,832
2024/02/04 13:00:00+00,9.5,1,11.1,56.8,833
2024/02/04 14:00:00+00,10.3,1.3,12.3,57,834
2024/02/04 15:00:00+00,10.6,0.8,11.8,54.1,835
2024/02/04 16:00:00+00,13.3,1.7,16,51.5,836
2024/02/04 17:00:00+00,15.6,1.1,17.3,48,837
2024/02/04 18:00:00+00,15.3,0.9,16.7,47.5,838
2024/02/04 19:00:00+00,15.6,0.9,16.9,46.6,839
2024/02/04 20:00:00+00,16.3,0.6,17.3,44.9,840
2024/02/04 21:00:00+00,16.1,1,17.7,44.2,841
2024/02/04 22:00:00+00,14.8,0.6,15.8,46.1,842
2024/02/04 23:00:00+00,18.1,0.6,19,40.4,843
2024/02/05 00:00:00+00,12.6,0.5,13.4,44.8,844
2024/02/05 01:00:00+00,10.1,0.2,10.4,47.7,845
2024/02/05 02:00:00+00,6.9,0.5,7.6,52.3,846
2024/02/05 03:00:00+00,7,-0.1,6.9,55.5,847
2024/02/05 04:00:00+00,8.4,0.5,9.1,56,848
2024/02/05 05:00:00+00,10.5,0.7,11.5,56.7,849
2024/02/05 06:00:00+00,12.4,0.5,13.2,57,850
2024/02/05 07:00:00+00,13.9,1,15.5,53.4,851
2024/02/05 08:00:00+00,18.1,1,19.5,46.4,852
2024/02/05 09:00:00+00,18.1,1,19.7,45.9,853
2024/02/05 10:00:00+00,14.7,1.8,17.5,46.9,854
2024/02/05 11:00:00+00,14,1.5,16.4,43.6,855
2024/02/05 12:00:00+00,12.3,1.4,14.5,45.2,856
2024/02/05 13:00:00+00,13.3,2.3,16.8,43.5,857
2024/02/05 14:00:00+00,13.3,2.1,16.6,43.8,858
2024/02/05 15:00:00+00,14.1,1.5,16.4,41.2,859
2024/02/05 16:00:00+00,13.1,0.4,13.8,42.7,860
2024/02/05 17:00:00+00,15.7,0.7,17,40.4,861
2024/02/05 18:00:00+00,18.6,0.8,19.8,39.7,862
2024/02/05 19:00:00+00,17.8,0.9,19.2,43.4,863
2024/02/05 20:00:00+00,18.1,0.9,19.5,43.8,864
2024/02/05 21:00:00+00,16.6,0.4,17.3,45.5,865
2024/02/05 22:00:00+00,13.7,1.1,15.4,46,866
2024/02/05 23:00:00+00,9.5,0.4,10.1,45.1,867
